learn_rate,num_hidden_nodes,weight_range,beta,c,error
2.5,11,2.25,480,400,0.135171875
2.25,9,2.25,460,480,0.135180603
2.375,8,2.375,420,440,0.135227551
2.25,8,2.25,460,440,0.135258113
2.25,10,2.375,480,440,0.135268275
2,11,2.25,460,400,0.135275693
2.125,9,2.25,480,460,0.135287496
2,10,2.125,400,400,0.135301365
2.25,9,2.5,400,420,0.135325501
2.375,11,2.375,480,420,0.135336467
2.375,8,2.375,400,400,0.135350601
2.5,6,2.5,100,180,0.135360339
2,9,2.125,440,460,0.135365687
2.25,10,2.25,400,480,0.135383746
2.375,9,2.375,480,480,0.13539747
2,10,2.375,440,480,0.135417767
2.25,10,2.25,460,480,0.135422431
2.5,12,2.25,340,340,0.135443501
2.5,10,2.375,400,460,0.135480865
2.375,11,2.375,420,460,0.135486261
2,12,2.25,100,260,0.135487647
2.5,10,2.25,440,440,0.135549871
2.25,8,2.375,400,400,0.135580225
2.125,8,2.25,460,440,0.13568067
2.125,9,2.25,400,400,0.135687387
2.125,10,2.125,480,420,0.135707977
2.125,9,2.25,480,440,0.135719076
2,9,2.5,400,480,0.135736644
2.25,6,2.5,420,260,0.135737767
2.125,10,2.25,400,480,0.13573869
1.75,10,2.25,100,340,0.135741536
2.25,10,2.25,460,460,0.135772958
2.25,9,2.25,440,400,0.135775522
2.25,10,2.25,400,440,0.135789646
2,8,2.5,180,340,0.135819034
2.125,10,2,460,440,0.135846672
2.25,12,2.25,420,420,0.135851946
2.5,8,2.375,440,420,0.135858771
2.5,8,2.5,340,100,0.135913103
2.125,11,2.25,460,440,0.135946907
2.375,10,2.25,460,460,0.136013662
2.375,9,2.375,400,420,0.136037498
2.5,12,2.25,420,420,0.136074495
2,10,2.25,460,460,0.136097913
1.5,10,2.25,100,260,0.136114365
2.5,10,2.375,480,440,0.136245313
2,10,2.375,460,460,0.13625006
2.125,8,2.5,440,460,0.136262446
2.25,10,2.125,400,400,0.13628569
2.25,10,2.375,440,400,0.136299533
2.125,9,2.5,460,420,0.136331674
2.125,9,2.25,440,400,0.136342536
2.5,8,2.25,460,420,0.136371406
2,8,2.5,440,480,0.136389785
2.125,10,2.125,440,400,0.136390092
2,9,2.375,400,480,0.136452606
2.25,8,2.25,420,260,0.136473319
2.375,9,2.375,460,440,0.136486477
1.75,14,2,260,340,0.136510084
2,10,2.125,480,420,0.136563211
2,10,2.25,100,340,0.136568743
2.25,9,2.375,400,420,0.136589604
2.25,8,2.5,420,420,0.136644908
2,10,2.125,440,400,0.13666141
2.25,8,2.5,260,180,0.136671193
2,9,2.375,440,480,0.136683334
2.25,6,2.5,100,180,0.136736379
2.25,8,2.375,440,420,0.136746563
2.25,11,2.375,420,460,0.136783208
2,11,2.25,480,400,0.136787569
2.125,8,2.375,440,420,0.136793321
2.375,10,2.5,420,440,0.136793871
2.375,8,2.5,480,400,0.13687094
2.125,8,2.375,460,400,0.136873749
2.5,10,2.25,480,440,0.136880174
