,error,"[learn_rate, num_hidden_nodes, weight_range, beta]"
776,1.80055001,"[2.134366816760446, 14, 1.7833385582650416, 481, 469]"
124,1.803589753,"[2.0043665769316035, 13, 2.366076288849368, 466, 489]"
516,1.806611194,"[2.1372015631619408, 12, 2.128211468737442, 481, 462]"
495,1.810930807,"[2.188948897201668, 12, 1.988924708308177, 463, 486]"
54,1.811929645,"[2.9726440344502914, 11, 1.7279080165855039, 494, 466]"
154,1.815205153,"[2.6419266053074653, 13, 2.1495801917207285, 460, 500]"
395,1.821439236,"[2.972243700980969, 12, 1.7114083209718445, 458, 473]"
729,1.82338982,"[2.6710742371274154, 11, 2.2773935345471834, 474, 479]"
209,1.827617444,"[2.607160266461436, 14, 1.5313950361032744, 452, 488]"
415,1.832087725,"[2.8887709420186227, 10, 1.6778932503665156, 482, 493]"
437,1.832535347,"[2.030104187349488, 11, 2.4173696050708298, 494, 472]"
345,1.834039137,"[2.711569836571489, 11, 1.5334130307528413, 470, 485]"
284,1.836398369,"[2.553120372454016, 10, 1.7172432439037595, 473, 459]"
446,1.836422686,"[2.603681377781413, 13, 2.1435870376108053, 477, 452]"
639,1.83658448,"[2.5355805771534508, 10, 1.669304319713036, 477, 459]"
782,1.836665395,"[2.842084911897058, 13, 1.80435849583084, 500, 500]"
499,1.83740542,"[2.148886413815804, 11, 2.0347758266850042, 479, 453]"
199,1.839390131,"[2.450764719683919, 11, 1.5911506762308592, 492, 483]"
554,1.840290503,"[2.2200115491716517, 13, 2.004937882374901, 476, 451]"
100,1.84242704,"[2.1887883913062565, 10, 1.7753309935921393, 469, 455]"
15,1.844667701,"[2.1550479840670325, 13, 1.7170001630199494, 473, 450]"
241,1.845632529,"[2.113271678364567, 13, 2.0161012877951707, 471, 484]"
257,1.846221809,"[2.1460598188151128, 12, 2.188930497675436, 484, 461]"
309,1.846429533,"[2.868105831084824, 11, 2.3781960728107157, 495, 477]"
615,1.84871048,"[2.573561277746675, 13, 1.6860687836694266, 499, 477]"
747,1.849817721,"[2.0753240337694425, 11, 1.970952903739319, 451, 495]"
373,1.85118286,"[2.913581321826506, 11, 2.210686869443125, 493, 475]"
593,1.851646692,"[2.784550084205065, 11, 1.787763575182032, 480, 481]"
348,1.855762321,"[2.7157214960122733, 11, 2.46594860503556, 467, 466]"
30,1.855988806,"[2.9070284524250947, 11, 2.343836828864762, 468, 473]"
465,1.856022225,"[2.079428119073901, 12, 1.5229141840112275, 451, 486]"
780,1.861714529,"[2.0072936756098105, 11, 1.9484405705765284, 473, 458]"
482,1.863597198,"[2.9475062109043324, 11, 2.2825225312298683, 472, 475]"
680,1.863772628,"[2.873957104058481, 12, 1.7247981090263598, 474, 453]"
692,1.872759101,"[2.1240767971183803, 14, 2.165388841100274, 478, 478]"
790,1.87308871,"[2.52648816743027, 12, 1.616870824585701, 460, 492]"
690,1.875328371,"[2.0276637825285855, 14, 2.106767231520621, 487, 482]"
325,1.877622912,"[2.4299125819336234, 11, 1.954534797699937, 481, 487]"
349,1.879338882,"[2.798179527778921, 10, 2.301718044879956, 461, 456]"
353,1.879785338,"[2.6018342898904576, 15, 1.642435008160396, 463, 452]"
672,1.880242394,"[2.966162069648002, 11, 1.5223482874178416, 490, 495]"
624,1.883069804,"[2.6860304519260394, 11, 1.8295039418513885, 458, 451]"
339,1.892641159,"[2.6010530845944717, 13, 1.832067740990739, 465, 477]"
65,1.895331069,"[2.8745647886726022, 13, 1.9044471881214609, 465, 478]"
107,1.906164444,"[2.7276206047893026, 12, 2.1699333963025733, 485, 460]"
614,1.906732998,"[2.8383227637559747, 14, 1.8467407715615454, 458, 475]"
631,1.906924324,"[2.6703495601363505, 13, 1.5318665419603117, 474, 462]"
276,1.909782615,"[2.0617328370994072, 13, 1.6813762000396781, 478, 475]"
725,1.91067662,"[2.2548462245271907, 15, 1.9167929522272311, 456, 499]"
10,1.912447337,"[2.7276312453207234, 12, 1.7153443031452595, 500, 474]"
551,1.916675232,"[2.1750450526033243, 13, 1.9538848070517454, 486, 471]"
798,1.917366074,"[2.9560245888961325, 12, 1.8318649940426723, 495, 474]"
167,1.918623808,"[2.2946256349748313, 11, 1.5230194404630821, 492, 473]"
646,1.920077787,"[2.272234925534578, 11, 1.5570004303565053, 452, 484]"
457,1.920300487,"[2.4917402183268234, 15, 1.8464881734791538, 454, 471]"
483,1.9314361,"[2.542313309063927, 14, 1.5944292839517873, 456, 458]"
283,1.934183735,"[2.906622977140817, 11, 1.5479311385363506, 496, 463]"
676,1.935816402,"[2.067497293121642, 14, 2.3881620349288424, 454, 492]"
364,1.942162272,"[2.2379811444850892, 11, 2.3630800631632933, 451, 465]"
50,1.943162025,"[2.5833126286096455, 10, 1.8833135309092066, 473, 498]"
530,1.945468818,"[2.5700669840192445, 12, 2.341367768405782, 493, 470]"
207,1.948780085,"[2.197538310354704, 15, 2.137981526178843, 467, 497]"
406,1.952464305,"[2.550502515817186, 13, 2.293147234943993, 474, 481]"
770,1.952964453,"[2.52663949840882, 13, 1.7420208700986124, 474, 492]"
534,1.954209207,"[2.7109581882656575, 13, 1.5379008277691912, 453, 479]"
416,1.957673272,"[2.4588832816874064, 13, 2.089123284886968, 481, 475]"
695,1.958829947,"[2.3446752607850905, 15, 1.5912433139059634, 500, 490]"
153,1.95931063,"[2.4667883327107902, 15, 1.9424779433803434, 496, 461]"
